Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/24,0.5,0.3,0.43,0.35,0.67,0.52,0.85,0.68,0.33,0.25,0.88,0.73,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,53.67,7.1
Month,Student,Active,02/01/24,2.43,2.25,1.78,2.25,1.02,1.62,1.78,2.03,2.95,3.18,3.05,1.65,0.72,0.7,0.37,0.0,0.0,0.0,0.0,0.0,0.0,38.37,201.17,27.78
Month,Student,Active,01/01/24,1.38,0.15,0.5,0.17,0.2,0.2,0.32,0.2,0.38,0.23,0.18,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.27,19.12,4.03
Month,Student,Active,12/01/23,1.37,1.3,0.48,0.27,0.25,0.25,0.32,0.32,0.25,0.58,0.4,0.25,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,33.58,6.35
Month,Student,Active,11/01/23,0.63,0.27,0.32,0.37,0.42,0.42,0.63,0.52,0.77,0.82,0.88,0.65,0.6,0.43,0.53,0.0,0.0,0.0,0.0,0.0,0.0,9.32,71.18,8.25
Month,Student,Active,10/01/23,2.72,0.93,2.57,2.2,1.47,2.38,1.5,0.72,0.6,0.55,1.02,0.93,0.83,0.9,0.37,0.27,0.0,0.0,0.0,0.0,0.0,23.35,125.43,19.95
Month,Student,Active,09/01/23,1.87,2.2,0.77,1.68,0.53,0.7,0.88,1.0,1.12,0.58,1.02,1.37,1.67,1.68,0.93,0.1,0.0,0.0,0.0,0.0,0.0,41.83,140.65,18.1
Month,Student,Active,08/01/23,1.02,2.15,0.28,0.25,0.22,0.55,0.77,0.83,1.0,0.62,0.67,0.9,0.77,0.7,0.75,1.22,0.85,0.33,0.0,0.0,0.0,38.95,127.82,13.87
Month,Student,Active,07/01/23,1.85,1.18,2.85,1.77,2.37,1.95,2.13,1.87,1.82,1.42,2.45,3.23,2.92,3.32,3.77,6.25,8.43,6.05,0.27,0.0,0.0,87.58,667.68,55.88
Month,Student,Active,06/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,05/01/23,1.82,1.87,0.8,0.87,1.12,1.13,1.45,0.82,1.32,1.32,1.32,1.45,2.1,4.38,6.37,12.25,17.9,16.18,3.57,0.0,0.0,85.42,1140.92,78.02
Month,Student,Active,04/01/23,1.55,1.48,1.58,1.27,0.93,0.42,0.63,0.85,0.68,0.93,1.05,1.03,1.05,1.77,3.7,7.12,8.12,4.05,0.0,0.0,0.0,63.03,490.8,38.22
Month,Student,Active,03/01/23,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.87,0.47,0.47
Month,Student,Active,02/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.28,0.0,0.0
Month,Student,Active,01/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95,0.0,0.0
Month,Student,Active,11/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.27,0.0,0.0
Month,Student,Active,10/01/22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.72,0.02,0.02
Month,Student,Active,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
Month,Student,All,03/01/24,0.13,0.52,0.25,1.03,0.57,0.37,0.73,0.78,0.57,0.35,0.77,0.63,0.53,0.42,0.08,0.0,0.0,0.0,0.0,0.0,0.0,28.9,61.13,7.73
